azon	szemaz	fognev
1	1	író
2	1	költő
3	2	színész
4	3	színész
5	4	bányamérnök
6	5	gépészmérnök
7	6	vegyészmérnök
8	7	vájár
9	7	politikus
10	8	matematikus
11	9	orvos
12	9	mikrobiológus
13	10	színész
14	11	vájár
15	12	villamosmérnök
16	13	agrármérnök
17	13	pedagógus
18	14	zenekar
19	15	pedagógus
20	16	gépmunkás
21	17	politikus
22	17	történész
23	18	színész
24	19	állattenyésztő
25	20	szobrász
26	21	színész
27	21	rendező
28	22	vegyészmérnök
29	22	talajvegyész
30	23	előadóművész
31	23	színházigazgató
32	24	színész
33	24	rendező
34	25	színész
35	25	főiskolai tanár
36	26	zoológus
37	27	fizikus
38	28	zeneszerző
39	28	karmester
40	29	rendező
41	29	színházigazgató
42	30	író
43	30	költő
44	30	műfordító
45	31	színházi
46	31	rendező
47	32	sebész-urológus
48	32	egészségügyi miniszter
49	33	építész
50	33	műemlékvédelmi szakmérnök
51	34	filmrendező
52	35	színész
53	36	festő
54	36	főiskolai tanár
55	37	kertészmérnök
56	38	zeneszerző
57	38	főiskolai tanár
58	39	író
59	39	költő
60	39	filmesztéta
61	40	fonónő
62	41	színész
63	42	fotóművész
64	43	gazdasági vezető
65	44	tsz-elnök
66	45	talajvegyész
67	46	orvos
68	47	zoológus
69	48	pedagógus
70	49	gordonkaművész
71	50	biokémikus
72	51	földműves
73	52	előadóművész
74	53	színész
75	54	színész
76	55	író
77	56	üzemmérnök
78	57	grafikus
79	58	vasesztergályos
80	59	festő
81	59	grafikus
82	60	költő
83	60	műfordító
84	60	grafikus
85	61	színész
86	62	növénynemesítő
87	63	villamosmérnök
88	64	építészmérnök
89	65	író
90	66	festő
91	66	grafikus
92	67	zeneszerző
93	67	zongoraművész
94	68	zenekar
95	69	színész
96	70	fizikus
97	70	pedagógus
98	71	vasesztergályos
99	72	állattenyésztő
100	73	színész
101	74	festő
102	74	grafikus
103	75	építész
104	76	filmrendező
105	77	színész
106	77	politikus
107	78	gépészmérnök
108	79	nyelvész
109	80	orvos
110	80	gyógypedagógus
111	81	zeneszerző
112	81	karmester
113	81	főiskolai tanár
114	82	tsz-elnök
115	83	színész
116	84	színész
117	85	operaénekes
118	86	szobrász
119	87	nagybőgős
120	88	kémikus
121	89	agrármérnök
122	90	nyelvész
123	91	csoportvezető
124	92	költő
125	92	műfordító
126	93	szobrász
127	94	tsz-tag
128	95	festő
129	95	grafikus
130	96	vájár
131	97	törzsállattenyésztő
132	98	festő
133	99	író
134	99	irodalomtörténész
135	99	műfordító
136	100	villamosmérnök
137	101	gépállomás-igazgató
138	102	író
139	102	költő
140	102	politikus
141	103	zenész
142	104	vegyészmérnök
143	105	író
144	105	dramaturg
145	105	filmrendező
146	106	gazdaságtörténész
147	107	szülész-nőgyógyász
148	108	festő
149	109	gépészmérnök
150	110	festő
151	110	író
152	111	író
153	111	költő
154	112	színész
155	113	erdőmérnök
156	114	rendező
157	115	mezőgazdász
158	116	színész
159	117	tsz-elnök
160	118	színész
161	119	színész
162	120	gépészmérnök
163	121	operatőr
164	122	villamosmérnök
165	123	vájár
166	124	fizikus
167	125	író
168	126	színész
169	127	zongoraművész
170	128	földműves
171	129	gépészmérnök
172	129	politikus
173	130	kémikus
174	130	egyetemi tanár
175	131	agrármérnök
176	132	ütőhangszer művész
177	133	szobrász
178	134	gépészmérnök
179	135	mérnök
180	136	mérnök
181	137	esztergályos
182	138	mérnök
183	139	gépészmérnök
184	140	pedagógus
185	141	előadóművész
186	142	gépészmérnök
187	143	tervezőmérnök
188	144	szobrász
189	144	éremművész
190	144	grafikus
191	145	festő
192	145	grafikus
193	145	tervezőgrafikus
194	146	építészmérnök
195	147	gordonkaművész
196	148	zeneszerző
197	149	koreográfus
198	149	táncművész
199	150	előhengerész
200	151	gazdasági vezető
201	152	író
202	152	publicista
203	153	filmrendező
204	153	színész
205	154	fémöntő
206	155	előadóművész
207	155	zeneszerző
208	155	szövegíró
209	156	kémikus
210	156	egyetemi tanár
211	157	cérnázómester
212	157	mérnök
213	158	költő
214	158	műfordító
215	159	bábszínész társulat
216	160	vájár
217	161	kémikus
218	162	fizikus
219	163	sebész
220	164	színész
221	165	gépészmérnök
222	166	ács
223	167	kőműves
224	168	pedagógus
225	169	kémikus
226	170	bányamérnök
227	171	kémikus
228	172	mérnök
229	173	kohómérnök
230	174	gépészmérnök
231	174	politikus
232	175	földműves
233	176	festő
234	176	grafikus
235	177	építőipari munkás
236	178	mérnök
237	179	író
238	179	költő
239	180	művészettörténész
240	180	muzeológus
241	181	építészmérnök
242	182	színész
243	183	festő
244	184	matematikus
245	185	előadóművész
246	185	énekes
247	185	zeneszerző
248	186	földműves
249	187	művezető
250	188	karnagy
251	188	zeneszerző
252	188	népzenekutató
253	189	mérnök
254	190	textilmérnök
255	191	író
256	191	újságíró
257	192	színész
258	193	festő
259	193	grafikus
260	194	ipari formatervező
261	195	építész
262	195	egyetemi tanár
263	196	villamosmérnök
264	197	építész
265	197	díszlet és jelmeztervező
266	198	színész
267	199	építészmérnök
268	200	író
269	200	költő
270	200	politikus
271	201	szobrász
272	202	költő
273	202	műfordító
274	203	kazánfűtő
275	204	festő
276	205	író
277	205	költő
278	206	állatorvos
279	207	kémikus
280	208	higiénikus
281	209	fizikus
282	210	pedagógus
283	211	színművész
284	212	író
285	212	népművelési miniszter
286	213	zeneszerző
287	214	építészmérnök
288	215	pedagógus
289	216	színművész
290	217	esztergályos
291	218	főművezető
292	219	festő
293	219	grafikus
294	219	szobrász
295	220	vegyészmérnök
296	221	művészettörténész
297	222	festő
298	223	költő
299	223	műfordító
300	224	hegedűművész
301	225	dalszövegíró
302	225	műfordító
303	226	mérnök
304	227	operaénekes
305	228	író
306	229	festő
307	230	építész
308	231	orvos
309	232	gépészmérnök
310	233	író
311	233	politikus
312	234	író
313	234	újságíró
314	235	főgépész
315	236	zeneszerző
316	236	karmester
317	237	festő
318	238	geofizikus
319	239	földműves
320	240	grafikus
321	241	gépészmérnök
