azonosito	szemaz	ev
1	1	1949
2	2	1985
3	3	1954
4	4	1951
5	5	1948
6	6	1960
7	7	1954
8	8	1951
9	9	1962
10	10	1997
11	11	1960
12	12	1962
13	13	1961
14	14	2004
15	15	1955
16	16	1948
17	17	1949
18	18	1994
19	19	1954
20	20	1993
21	21	1954
22	22	1958
23	23	1956
24	24	1992
25	25	1975
26	26	1953
27	27	1952
28	27	1954
29	28	1957
30	29	1965
31	30	1992
32	31	1995
33	32	1951
34	33	2005
35	34	1985
36	35	1948
37	36	2002
38	37	1961
39	38	1983
40	39	1949
41	40	1962
42	41	1951
43	42	2004
44	43	1953
45	44	1954
46	45	1957
47	46	1955
48	47	1963
49	48	1954
50	49	1958
51	50	1955
52	51	1950
53	52	2006
54	53	1996
55	54	2002
56	55	1954
57	56	1949
58	57	1999
59	58	1948
60	59	1954
61	59	1985
62	60	2001
63	61	1953
64	62	1962
65	63	1957
66	64	1957
67	65	1956
68	66	1993
69	67	1948
70	68	1977
71	69	1952
72	70	1958
73	71	1948
74	72	1960
75	73	2003
76	74	1985
77	75	1994
78	76	1950
79	76	1952
80	76	1954
81	77	2001
82	78	1951
83	79	1952
84	80	1953
85	81	1955
86	82	1960
87	83	1993
88	84	1955
89	85	1954
90	86	1949
91	87	2000
92	88	1949
93	89	1959
94	90	1960
95	91	1949
96	92	2001
97	93	1992
98	94	1949
99	95	1952
100	96	1956
101	97	1955
102	98	1952
103	99	1963
104	100	1958
105	101	1954
106	102	1950
107	102	1952
108	103	2006
109	104	1949
110	105	2001
111	106	1961
112	107	1949
113	108	1951
114	109	1952
115	110	1948
116	110	1970
117	111	2004
118	112	1953
119	112	1955
120	113	1960
121	114	1995
122	115	1954
123	116	2000
124	117	1951
125	118	1951
126	118	1953
127	119	2000
128	120	1949
129	121	2004
130	122	1952
131	123	1959
132	124	1959
133	125	2003
134	126	2005
135	127	2004
136	128	1948
137	129	1949
138	129	1956
139	130	1948
140	130	1962
141	131	1958
142	132	2004
143	133	1949
144	134	1954
145	135	1953
146	136	1953
147	137	1954
