szemaz	nev
26	Ábrahám Ambrus
1	Aczél Tamás
27	Ács Ernő
28	Ádám Jenő
29	Ádám Ottó
2	Agárdi Gábor
30	Ágh István
3	Ajtay Andor
4	Ajtay Zoltán
5	Akarat Endre
6	Albert János
7	Albrecht József
8	Alexits György
9	Alföldi Zoltán
10	Almási Éva
11	Almási István
12	Almássy György
13	Almássy Károly
14	AMADINDA Ütőegyüttes
15	Ambró Ilona
16	Ambrus Teréz
17	Andics Erzsébet
18	Andorai Péter
19	Andrikó István
20	Antal Károly
21	Apáthi Imre
22	Arany Sándor
23	Ascher Oszkár
24	Ascher Tamás
25	Avar István
1385	B. Nagy János
31	Babarczy László
32	Babics Antal
33	Bachman Zoltán
34	Bacsó Péter
35	Bajor Gizi
36	Bak Imre
37	Bakonyi József
38	Balassa Sándor
39	Balázs Béla
40	Balázs Józsefné
41	Balázs Samu
72	Báldy Bálint
73	Bálint András
74	Bálint Endre
42	Balla Demeter
43	Balla Imre
44	Balla János
45	Ballenegger Róbert
46	Baló József
47	Balogh János
48	Balogh József
75	Bán Ferenc
76	Bán Frigyes
49	Banda Ede
77	Bánffy György
50	Banga Ilona
51	Banga Imre
52	Bangó Margit
53	Bánsági Ildikó
54	Bara Margit
55	Barabás Tibor
56	Barakonyi László
78	Bárány Nándor
57	Baranyay András
1405	Baranyi Ferenc
58	Baráth Antal
79	Bárczi Géza
80	Bárczi Gusztáv
59	Barcsay Jenő
81	Bárdos Lajos
60	Bari Károly
61	Barsy Béla
62	Barsy Sarolta
63	Barta István
64	Barta József
65	Barta Lajos
82	Bártfai Sándor
66	Bartha László
67	Bartók Béla
68	Bartók Vonósnégyes
69	Bartos Gyula
83	Básti Juli
84	Básti Lajos
85	Báthy Anna
70	Bayer István
71	Bayer Oszkár
86	Beck András
87	Becze Gábor
88	Beke Dénes
89	Beke Ferenc
90	Beke Ödön
114	Békés András
115	Békésy Miklós
91	Belitzky József
92	Bella István
93	Bencsik István
94	Bencsik Mihály
95	Bencze László
96	Bencze Miklós
97	Benczik Sándor
98	Benedek Jenő
99	Benedek Marcell
100	Benedikt Ottó
101	Benitz Zsigmond
102	Benjámin László
103	Benkó Sándor
104	Bereczky Endre
105	Bereményi Géza
106	Berend T. Iván
107	Berentey Ernő
108	Berény Róbert
116	Béres Ilona
109	Bereznai Oszkár
110	Bernáth Aurél
111	Bertók László
112	Bessenyei Ferenc
113	Bezzegh László
117	Bihari Ferenc
118	Bihari József
120	Bíró Ferenc
121	Bíró Miklós
119	Bitskey Tibor
1406	Blaskó Péter
122	Bochner Endre Lajos
150	Bódi Béla
123	Bodó Elemér
124	Bodó Zalán
125	Bodor Ádám
126	Bodrogi Gyula
127	Bogányi Gergely
128	Bogdán József
129	Bognár Géza
130	Bognár Rezső
131	Bojtor Miklós
132	Bojtos Károly
133	Bokros Birman Dezső
151	Bólya József
134	Bonkáló Tamás
135	Bonta József
136	Borbély Mihály
137	Bordás András
138	Bordás Lajos
139	Boromisza Gyula
140	Boros Gyula
141	Boross Lajos
142	Bors János
143	Bors Károly
144	Borsos Miklós
145	Bortnyik Sándor
146	Borvendég Béla
147	Botvay Károly
148	Bozay Attila
149	Bozsik Yvette
152	Bölöni György
153	Böszörményi Géza
154	Bőzsöny Lajos
155	Bródy János
156	Bruckner Győző
157	Bruckner Lipót
158	Buda Ferenc
159	Budapest Bábszínház
160	Budavári Károly
161	Budinevits Andor
162	Budó Ágoston
163	Bugyi István
164	Bulla Elma
165	Bun József
166	Bunda János
167	Buti Gyula
168	Buti Sándor
169	Buzágh Aladár
170	Buzási János
171	Cholnoky László
172	Cholnoky Tibor
173	Claus Alajos
181	Cságoly Ferenc
182	Csákányi Eszter
183	Csáki-Maronyák József
178	Csanádi György
179	Csanádi Imre
184	Császár Ákos
180	Csatkai Endre
185	Cseh Tamás
186	Cseke Bálint
187	Cseke István
188	Csenki Imre
189	Cseperkálovics Antal
190	Csepreghy Győző
191	Cseres Tibor
192	Cserhalmi György
193	Csernus Tibor
194	Cserny József
195	Csete György
196	Csicsátka Antal
197	Csikós Attila
204	Csók István
198	Csomós Mari
199	Csonka Pál
200	Csoóri Sándor
201	Csorba Géza
202	Csorba Győző
203	Csorba István
205	Csukás István
206	Csukás Zoltán
207	Csűrös Zoltán
174	Czibere Tibor
175	Czifranics Mihály
176	Czóbel Béla
177	Czukor Anna
208	Dabis László
209	Dallos András
210	Danis Imréné
211	Darvas Iván
212	Darvas József
213	Dávid Gyula
214	Dávid Károly
215	Davida Leóné
216	Dayka Margit
217	Deák János
218	Dege Lajos
219	Deim Pál
220	Demeter László
225	Dénes G. György
226	Dénes Péter
221	Dercsényi Dezső
222	Derkovits Gyula
227	Déry Gabriella
228	Déry Tibor
1386	Dés László
229	Dési Huber István
223	Devecseri Gábor
